URL,Marktbericht KW,Haltungsform,Label,weiß XL,weiß L,weiß M,weiß S
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-50-2023-kopie.html,Marktbericht KW 51/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 23,00 (  0,00)"," 15,35 (  0,00)"," 14,20 (  0,00)"," 12,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-49-2023-kopie.html,Marktbericht KW 50/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 23,00 (  0,00)"," 15,35 (+0,12)"," 14,20 (+0,07)"," 12,00 (+0,07)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-48-2023-kopie.html,Marktbericht KW 49/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 23,00 (+0,02)"," 15,23 (+0,03)"," 14,13 (+0,03)"," 11,93 (+0,03)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-47-2023-kopie.html,Marktbericht KW 48/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,98 (+0,10)"," 15,20 (+0,17)"," 14,10 (+0,17)"," 11,90 (+0,10)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-46-2023-kopie.html,Marktbericht KW 47/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,88 (+0,13)"," 15,03 (+0,13)"," 13,93 (+0,13)"," 11,80 (+0,10)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-45-2023-kopie.html,Marktbericht KW 46/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,75 (+0,15)"," 14,90 (+0,20)"," 13,80 (+0,15)"," 11,70 (+0,10)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-44-2023-kopie.html,Marktbericht KW 45/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,60 (+0,10)"," 14,70 (+0,10)"," 13,65 (+0,05)"," 11,60 (+0,05)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-43-2023-kopie.html,Marktbericht KW 44/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,50 (+0,20)"," 14,60 (+0,10)"," 13,60 (+0,10)"," 11,55 (+0,05)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-42-2023-kopie.html,Marktbericht KW 43/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,30 (+0,20) "," 14,50 (+0,15)"," 13,50 (+0,15)"," 11,50 (+0,10)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-41-2023-kopie.html,Marktbericht KW 42/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,10 (+0,05) "," 14,35 (+0,07)"," 13,35 (+0,10)"," 11,40 (+0,05)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-40-2023-kopie.html,Marktbericht KW 41/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,05 (+0,10) "," 14,28 (+0,08)"," 13,25 (+0,05)"," 11,35 (+0,05)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-39-2023-kopie.html,Marktbericht KW 40/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,95 (+0,15) "," 14,20 (  0,00)"," 13,20 (  0,00)"," 11,30 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-38-2023-kopie.html,Marktbericht KW 39/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,80 (+0,10) "," 14,20 (+0,10)"," 13,20 (+0,10)"," 11,30 (+0,05)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-37-2023-kopie.html,Marktbericht KW 38/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,70 (+0,20) "," 14,10 (+0,10)"," 13,10 (+0,10)"," 11,25 (+0,07)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-36-2023-kopie.html,Marktbericht KW 37/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,50 (+0,20) "," 14,00 (+0,25)"," 13,00 (+0,25)"," 11,18 (+0,18)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-36-2023.html,Marktbericht KW 36/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,30 (+0,50) "," 13,75 (+1,00)"," 12,75 (+1,00)"," 11,00 (+0,70)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-34-2023-kopie.html,Marktbericht KW 35/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 20,80 (+0,30) "," 12,75 (+0,50)"," 11,75 (+0,50)"," 10,30 (+0,30)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-33-2023-kopie.html,Marktbericht KW 34/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 20,50 (+0,30) "," 12,25 (+0,50)"," 11,25 (+0,55)"," 10,00 (+0,27)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-32-2023-kopie.html,Marktbericht KW 33/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 20,20 (+0,40) "," 11,75 (+0,50)"," 10,70 (+0,60)","   9,73 (+0,33)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-31-2023-kopie.html,Marktbericht KW 32/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 19,80 (+0,25) "," 11,25 (+0,45)"," 10,10 (+0,30)","   9,40 (+0,20)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-30-2023-kopie.html,Marktbericht KW 31/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 19,55 (+0,05) "," 10,80 (+0,02)","   9,80 (+0,02)","   9,20 (+0,02)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-29-2023-kopie.html,Marktbericht KW 30/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 19,50 (  0,00) "," 10,78 ( -0,02)","   9,78 ( -0,02)","   9,18 ( -0,12)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-28-2023-kopie.html,Marktbericht KW 29/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 19,50 (  0,00) "," 10,80 ( -0,20)","   9,80 ( -0,20)","   9,30 ( -0,20)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-27-2023-kopie.html,Marktbericht KW 28/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 19,50 ( -0,30) "," 11,00 ( -0,50)"," 10,00 ( -0,50)","   9,50 ( -0,50)"
